Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
New South Wales,tonnes,Barley,1912,2900,hectares,4400
Victoria,tonnes,Barley,1912,23200,hectares,21700
Queensland,tonnes,Barley,1912,300,hectares,700
South Australia,tonnes,Barley,1912,16000,hectares,16500
Western Australia,tonnes,Barley,1912,800,hectares,1500
Tasmania,tonnes,Barley,1912,3400,hectares,2500
Northern Territory,tonnes,Barley,1912,0,hectares,0
Australian Capital Territory,tonnes,Barley,1912,0,hectares,0
New South Wales,tonnes,Maize,1912,114500,hectares,67900
Victoria,tonnes,Maize,1912,20100,hectares,7400
Queensland,tonnes,Maize,1912,64100,hectares,47800
South Australia,tonnes,Maize,1912,0,hectares,0
Western Australia,tonnes,Maize,1912,0,hectares,0
Tasmania,tonnes,Maize,1912,0,hectares,0
Northern Territory,tonnes,Maize,1912,0,hectares,0
Australian Capital Territory,tonnes,Maize,1912,0,hectares,0
New South Wales,tonnes,Oats,1912,21000,hectares,28800
Victoria,tonnes,Oats,1912,83200,hectares,122300
Queensland,tonnes,Oats,1912,100,hectares,200
South Australia,tonnes,Oats,1912,24400,hectares,43700
Western Australia,tonnes,Oats,1912,17400,hectares,31400
Tasmania,tonnes,Oats,1912,27200,hectares,23300
Northern Territory,tonnes,Oats,1912,0,hectares,0
Australian Capital Territory,tonnes,Oats,1912,0,hectares,0
New South Wales,tonnes,Wheat,1912,682800,hectares,963400
Victoria,tonnes,Wheat,1912,568600,hectares,875800
Queensland,tonnes,Wheat,1912,7800,hectares,17400
South Australia,tonnes,Wheat,1912,553600,hectares,886600
Western Australia,tonnes,Wheat,1912,118600,hectares,247700
Tasmania,tonnes,Wheat,1912,17900,hectares,15100
Northern Territory,tonnes,Wheat,1912,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1912,0,hectares,0
New South Wales,tonnes,Potatoes,1912,76400,hectares,17500
Victoria,tonnes,Potatoes,1912,121000,hectares,19300
Queensland,tonnes,Potatoes,1912,13300,hectares,3100
South Australia,tonnes,Potatoes,1912,23000,hectares,3000
Western Australia,tonnes,Potatoes,1912,9500,hectares,1100
