Region label,Unit of measure,Commodity,Year,Value
New South Wales,tonnes,Barley,1912,2900
Victoria,tonnes,Barley,1912,23200
Queensland,tonnes,Barley,1912,300
South Australia,tonnes,Barley,1912,16000
Western Australia,tonnes,Barley,1912,800
Tasmania,tonnes,Barley,1912,3400
Northern Territory,tonnes,Barley,1912,0
Australian Capital Territory,tonnes,Barley,1912,0
New South Wales,tonnes,Maize,1912,114500
Victoria,tonnes,Maize,1912,20100
Queensland,tonnes,Maize,1912,64100
South Australia,tonnes,Maize,1912,0
Western Australia,tonnes,Maize,1912,0
Tasmania,tonnes,Maize,1912,0
Northern Territory,tonnes,Maize,1912,0
Australian Capital Territory,tonnes,Maize,1912,0
New South Wales,tonnes,Oats,1912,21000
Victoria,tonnes,Oats,1912,83200
Queensland,tonnes,Oats,1912,100
South Australia,tonnes,Oats,1912,24400
Western Australia,tonnes,Oats,1912,17400
Tasmania,tonnes,Oats,1912,27200
Northern Territory,tonnes,Oats,1912,0
Australian Capital Territory,tonnes,Oats,1912,0
New South Wales,tonnes,Wheat,1912,682800
Victoria,tonnes,Wheat,1912,568600
Queensland,tonnes,Wheat,1912,7800
South Australia,tonnes,Wheat,1912,553600
Western Australia,tonnes,Wheat,1912,118600
Tasmania,tonnes,Wheat,1912,17900
Northern Territory,tonnes,Wheat,1912,0
Australian Capital Territory,tonnes,Wheat,1912,0
New South Wales,tonnes,Potatoes,1912,76400
Victoria,tonnes,Potatoes,1912,121000
Queensland,tonnes,Potatoes,1912,13300
South Australia,tonnes,Potatoes,1912,23000
Western Australia,tonnes,Potatoes,1912,9500
Tasmania,tonnes,Potatoes,1912,63200
Northern Territory,tonnes,Potatoes,1912,0
Australian Capital Territory,tonnes,Potatoes,1912,0
New South Wales,tonnes,Barley,1913,6600
Victoria,tonnes,Barley,1913,39600
Queensland,tonnes,Barley,1913,3300
South Australia,tonnes,Barley,1913,29900
Western Australia,tonnes,Barley,1913,2100
Tasmania,tonnes,Barley,1913,6000
Northern Territory,tonnes,Barley,1913,0
Australian Capital Territory,tonnes,Barley,1913,0
New South Wales,tonnes,Maize,1913,129900
Victoria,tonnes,Maize,1913,18200
Queensland,tonnes,Maize,1913,99500
South Australia,tonnes,Maize,1913,0
Western Australia,tonnes,Maize,1913,0
Tasmania,tonnes,Maize,1913,0
Northern Territory,tonnes,Maize,1913,0
Australian Capital Territory,tonnes,Maize,1913,0
New South Wales,tonnes,Oats,1913,30400
Victoria,tonnes,Oats,1913,151000
Queensland,tonnes,Oats,1913,1500
South Australia,tonnes,Oats,1913,30300
Western Australia,tonnes,Oats,1913,38100
Tasmania,tonnes,Oats,1913,40900
Northern Territory,tonnes,Oats,1913,0
Australian Capital Territory,tonnes,Oats,1913,0
New South Wales,tonnes,Wheat,1913,884200
Victoria,tonnes,Wheat,1913,713700
Queensland,tonnes,Wheat,1913,53700
South Australia,tonnes,Wheat,1913,584700
Western Australia,tonnes,Wheat,1913,249400
Tasmania,tonnes,Wheat,1913,17100
Northern Territory,tonnes,Wheat,1913,0
Australian Capital Territory,tonnes,Wheat,1913,0
New South Wales,tonnes,Potatoes,1913,93100
Victoria,tonnes,Potatoes,1913,194200
Queensland,tonnes,Potatoes,1913,16600
South Australia,tonnes,Potatoes,1913,33600
Western Australia,tonnes,Potatoes,1913,13800
Tasmania,tonnes,Potatoes,1913,73700
Northern Territory,tonnes,Potatoes,1913,0
Australian Capital Territory,tonnes,Potatoes,1913,0
New South Wales,tonnes,Barley,1914,6900
Victoria,tonnes,Barley,1914,41100
Queensland,tonnes,Barley,1914,2600
South Australia,tonnes,Barley,1914,30300
Western Australia,tonnes,Barley,1914,3800
Tasmania,tonnes,Barley,1914,4300
Northern Territory,tonnes,Barley,1914,0
Australian Capital Territory,tonnes,Barley,1914,0
New South Wales,tonnes,Maize,1914,113100
Victoria,tonnes,Maize,1914,20300
Queensland,tonnes,Maize,1914,108200
South Australia,tonnes,Maize,1914,0
Western Australia,tonnes,Maize,1914,0
Tasmania,tonnes,Maize,1914,0
Northern Territory,tonnes,Maize,1914,0
Australian Capital Territory,tonnes,Maize,1914,0
New South Wales,tonnes,Oats,1914,33300
Victoria,tonnes,Oats,1914,161300
Queensland,tonnes,Oats,1914,1000
South Australia,tonnes,Oats,1914,21700
Western Australia,tonnes,Oats,1914,30000
Tasmania,tonnes,Oats,1914,28800
Northern Territory,tonnes,Oats,1914,0
Australian Capital Territory,tonnes,Oats,1914,0
New South Wales,tonnes,Wheat,1914,1034700
Victoria,tonnes,Wheat,1914,896400
Queensland,tonnes,Wheat,1914,48100
South Australia,tonnes,Wheat,1914,460700
